name,code,childrenUrl,comment,url
"Volume eliberate pe categorii de biblioteci, macroregiuni, regiuni de dezvoltare si judete",ART108B,matrix,,matrix
Spectacole cinematografice pe categorii de cinematografe,ART109A,matrix,,matrix
"Spectacole cinematografice pe categorii de cinematografe, macroregiuni, regiuni de dezvoltare si judete",ART109B,matrix,,matrix
"Spectacole cinematografice pe categorii de cinematografe, dupa filialele judetelor",ART109C,matrix,,matrix
Spectatori la cinematografe pe categorii de cinematografe,ART110A,matrix,,matrix
"Spectatori la cinematografe pe categorii de cinematografe, macroregiuni, regiuni de dezvoltare si judete",ART110B,matrix,,matrix
"Spectatori la cinematografe pe categorii de cinematografe, dupa sediul filialelor judetelor",ART110C,matrix,,matrix
"Spectacole si concerte la institutiile si companiile de spectacole sau concerte pe categorii de unitati, macroregiuni, regiuni de dezvoltare si judete
",ART111B,matrix,,matrix
Spectatori si auditori la reprezentatii artistice pe judete si localitati,ART112A,matrix,,matrix
"Spectatori si auditori la reprezentatii artistice pe categorii de institutii si companii de spectacole  sau concerte, macroregiuni, regiuni de dezvoltare si judete	",ART112B,matrix,,matrix
"Vizitatori in muzee si colectii publice, pe judete si localitati",ART113A,matrix,,matrix
"Vizitatori in muzee si colectii publice, pe macroregiuni, regiuni de dezvoltare si judete",ART113B,matrix,,matrix
"Locuri in salile de spectacole si concerte, pe judete si localitati",ART114A,matrix,,matrix
"Locuri in salile de spectacole si concerte, pe categorii de unitati, macroregiuni, regiuni de dezvoltare si judete",ART114B,matrix,,matrix
"Carti si brosuri tiparite, intrate in Depozitul Legal al Bibliotecii Nationale",ART115A,matrix,,matrix
"Manuale scolare si cursuri universitare tiparite, dupa elementele componente ale productiei de carti si manuale, limbile de aparitie a lucrarilor din invatamant si categoriile de manuale",ART116A,matrix,,matrix
"Productia de ziare, reviste si alte publicatii periodice dupa periodicitatea de aparitie a publicatiilor si limbile de aparitie a publicatiilor periodice
",ART117A,matrix,,matrix
Productia nationala de filme pe categorii de filme produse,ART118A,matrix,,matrix
Durata emisiunilor radio pe genuri de emisiuni radio,ART119A,matrix,,matrix
Durata emisiunilor radio in limbile minoritatilor nationale,ART119B,matrix,,matrix
Durata emisiunilor radio pe feluri de emisiuni dupa zona de emisie si forme de proprietate,ART119C,matrix,,matrix
Durata emisiunilor radio pe categorii de emisiuni - proprietate majoritar privata,ART119D,matrix,,matrix
"Structura programelor difuzate de posturile de radio pe feluri de emisiuni, zona de emisie si forme de proprietate ",ART119E,matrix,,matrix
Structura  programelor difuzate de posturile de radio pe categorii de emisiuni - proprietate majoritar privata,ART119F,matrix,,matrix
Durata emisiunilor de televiziune pe genuri de emisiuni,ART120A,matrix,,matrix
Durata emisiunilor de televiziune pe limbi ale minoritatilor nationale,ART120B,matrix,,matrix
Durata emisiunilor de televiziune pe feluri de emisiuni dupa zona de emisie si forme de proprietate,ART120C,matrix,,matrix
Durata emisiunilor de televiziune pe categorii de emisiuni - proprietate majoritar privata,ART120D,matrix,,matrix
Structura programelor difuzate de posturile de televiziune pe feluri de emisiuni dupa zona de emisie si forme de proprietate,ART120E,matrix,,matrix
Structura  programelor difuzate de posturile de televiziune pe categorii de emisiuni -  proprietate majoritar privata,ART120F,matrix,,matrix
Personalul angajat din biblioteci pe judete si localitati,ART121A,matrix,,matrix
"Personalul angajat din biblioteci pe macroregiuni, regiuni de dezvoltare si judete",ART121B,matrix,,matrix
Personalul angajat din institutiile si companiile de spectacole pe judete si localitati,ART122A,matrix,,matrix
"Personalul angajat din institutiile si companiile de spectacole pe macroregiuni, regiuni de dezvoltare si judete",ART122B,matrix,,matrix
Personalul angajat din muzee pe judete si localitati,ART123A,matrix,,matrix
"Personalul angajat din muzee pe macroregiuni, regiuni de dezvoltare si judete",ART123B,matrix,,matrix
"Minori cu deficiente din unitatile de asistenta speciala  pe tipuri de unitati, la sfarsitul anului",ASS101A,matrix,,matrix
Unitati de invatamant special (la inceputul anului scolar),ASS102A,matrix,,matrix
"Minori cu deficiente, din invatamantul special pe tipuri de unitati de invatamant",ASS103A,matrix,,matrix
"Minori din invatamantul special, dupa nivelul de instruire si varste",ASS103B,matrix,,matrix
Beneficiari din sistemul de protectie a copilului aflat in dificultate,ASS104A,matrix,,matrix
"Numarul copiilor din centrele de plasament, pe grupe de varsta (la sfarsitul anului)",ASS104B,matrix,,matrix
"Centre de plasament pentru protectia copilului aflat in dificultate, pe categorii de unitati",ASS106A,matrix,,matrix
Centre pentru asistarea adultilor pe tipuri de unitati - la sfarsitul anului,ASS113A,matrix,,matrix
Camine pentru persoane varstnice - la sfarsitul anului,ASS113B,matrix,,matrix
"Camine pentru persoane varstnice,in subordinea consiliilor locale pe macroregiuni,regiuni de dezvoltare si judete",ASS113C,matrix,,matrix
"Camine pentru persoane varstnice,administrate de furnizori privati pe macroregiuni,regiuni de dezvoltare si judete",ASS113D,matrix,,matrix
"Camine pentru persoane varstnice in subordinea consiliilor judetene,pe macroregiuni, regiuni de dezvoltare si judete
",ASS113E,matrix,,matrix
Numarul total de servicii sociale licentiate care functionau la sfarsitul anului,ASS113F,matrix,,matrix
Adulti asistati in centre speciale pe tipuri de unitati,ASS114A,matrix,,matrix
"Persoane adulte ingrijite in centre de asistenta speciala ale autoritatii nationale pentru persoanele cu handicap, pe tipuri de deficiente, la sfarsitul anului",ASS114B,matrix,,matrix
"Personal in centre pentru asistarea adultilor pe tipuri de unitati si categorii de personal, la sfarsitul anului",ASS115A,matrix,,matrix
Cheltuieli pentru protectia speciala a persoanelor cu handicap neinstitutionalizate pe forme de protectie,ASS116A,matrix,,matrix
"Beneficiari de drepturi banesti de asistenta sociala, la sfarsitul anului",ASS117A,matrix,,matrix
"Prestatii acordate persoanelor cu handicap pe macroregiuni, regiuni de dezvoltare si judete",ASS117B,matrix,,matrix
"Indemnizatia lunara de hrana pentru persoanele infectate cu HIV sau bolnave de SIDA pe macroregiuni, regiuni de dezvoltare si judete",ASS117C,matrix,,matrix
Beneficii si servicii de asistenta sociala - sume platite,ASS118A,matrix,,matrix
"Alocatia de stat pentru copii pe macroregiuni,regiuni de dezvoltare si judete",ASS118B,matrix,,matrix
"Indemnizatia pentru cresterea copilului si stimulentul lunar, pe macroregiuni, regiuni de dezvoltare si judete",ASS118C,matrix,,matrix
